bfs_nr,municipality,canton,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change
1,Aeugst am Albis,ZH,0,999.0,2024-05-27
2,Affoltern am Albis,ZH,18,15.9,2024-05-27
3,Bonstetten,ZH,3,55.7,2024-05-27
4,Hausen am Albis,ZH,4,30.8,2024-05-27
5,Hedingen,ZH,0,999.0,2024-05-27
6,Kappel am Albis,ZH,0,999.0,2024-05-27
7,Knonau,ZH,0,999.0,2024-05-27
8,Maschwanden,ZH,0,999.0,2024-05-27
9,Mettmenstetten,ZH,12,15.3,2024-05-27
10,Obfelden,ZH,20,9.0,2024-05-27
11,Ottenbach,ZH,2,52.5,2024-05-27
12,Rifferswil,ZH,0,999.0,2024-05-27
13,Stallikon,ZH,1,142.0,2024-05-27
14,Wettswil am Albis,ZH,0,999.0,2024-05-27
22,Benken (ZH),ZH,1,22.0,2024-05-27
23,Berg am Irchel,ZH,0,999.0,2024-05-27
24,Buch am Irchel,ZH,0,999.0,2024-05-27
25,Dachsen,ZH,0,999.0,2024-05-27
26,Dorf,ZH,0,999.0,2024-05-27
27,Feuerthalen,ZH,3,30.7,2024-05-27
28,Flaach,ZH,0,999.0,2024-05-27
29,Flurlingen,ZH,0,999.0,2024-05-27
31,Henggart,ZH,2,32.0,2024-05-27
33,Kleinandelfingen,ZH,2,26.0,2024-05-27
34,Laufen-Uhwiesen,ZH,8,9.0,2024-05-27
35,Marthalen,ZH,0,999.0,2024-05-27
37,Ossingen,ZH,1,37.0,2024-05-27
38,Rheinau,ZH,2,16.0,2024-05-27
39,Thalheim an der Thur,ZH,0,999.0,2024-05-27
40,Trüllikon,ZH,0,999.0,2024-05-27
41,Truttikon,ZH,0,999.0,2024-05-27
43,Volken,ZH,0,999.0,2024-05-27
51,Bachenbülach,ZH,17,10.1,2024-05-27
52,Bassersdorf,ZH,12,20.6,2024-05-27
53,Bülach,ZH,11,38.5,2024-05-27
54,Dietlikon,ZH,38,5.7,2024-05-27
55,Eglisau,ZH,8,25.3,2024-05-27
56,Embrach,ZH,7,35.3,2024-05-27
57,Freienstein-Teufen,ZH,2,42.5,2024-05-27
58,Glattfelden,ZH,1,182.0,2024-05-27
59,Hochfelden,ZH,0,999.0,2024-05-27
60,Höri,ZH,3,26.3,2024-05-27
61,Hüntwangen,ZH,0,999.0,2024-05-27
62,Kloten,ZH,81,12.4,2024-05-27
63,Lufingen,ZH,0,999.0,2024-05-27
64,Nürensdorf,ZH,3,52.7,2024-05-27
65,Oberembrach,ZH,0,999.0,2024-05-27
66,Opfikon,ZH,42,21.9,2024-05-27
67,Rafz,ZH,2,73.5,2024-05-27
68,Rorbas,ZH,0,999.0,2024-05-27
69,Wallisellen,ZH,46,16.1,2024-05-27
70,Wasterkingen,ZH,0,999.0,2024-05-27
71,Wil (ZH),ZH,1,57.0,2024-05-27
72,Winkel,ZH,2,95.0,2024-05-27
81,Bachs,ZH,2,9.0,2024-05-27
82,Boppelsen,ZH,2,27.5,2024-05-27
83,Buchs (ZH),ZH,4,70.8,2024-05-27
84,Dällikon,ZH,4,25.3,2024-05-27
85,Dänikon,ZH,0,999.0,2024-05-27
86,Dielsdorf,ZH,10,35.1,2024-05-27
87,Hüttikon,ZH,0,999.0,2024-05-27
88,Neerach,ZH,0,999.0,2024-05-27
89,Niederglatt,ZH,0,999.0,2024-05-27
90,Niederhasli,ZH,7,33.1,2024-05-27
91,Niederweningen,ZH,6,18.7,2024-05-27
92,Oberglatt,ZH,6,17.2,2024-05-27
93,Oberweningen,ZH,2,25.5,2024-05-27
94,Otelfingen,ZH,4,22.3,2024-05-27
95,Regensberg,ZH,0,999.0,2024-05-27
96,Regensdorf,ZH,24,18.6,2024-05-27
97,Rümlang,ZH,13,16.7,2024-05-27
98,Schleinikon,ZH,0,999.0,2024-05-27
99,Schöfflisdorf,ZH,0,999.0,2024-05-27
100,Stadel,ZH,0,999.0,2024-05-27
101,Steinmaur,ZH,4,25.3,2024-05-27
102,Weiach,ZH,0,999.0,2024-05-27
111,Bäretswil,ZH,3,36.0,2024-05-27
112,Bubikon,ZH,3,76.7,2024-05-27
113,Dürnten,ZH,19,10.2,2024-05-27
114,Fischenthal,ZH,2,28.5,2024-05-27
115,Gossau (ZH),ZH,7,34.6,2024-05-27
116,Grüningen,ZH,0,999.0,2024-05-27
117,Hinwil,ZH,21,15.0,2024-05-27
118,Rüti (ZH),ZH,13,18.3,2024-05-27
119,Seegräben,ZH,2,32.0,2024-05-27
120,Wald (ZH),ZH,11,15.1,2024-05-27
121,Wetzikon (ZH),ZH,26,20.0,2024-05-27
131,Adliswil,ZH,45,8.7,2024-05-27
135,Kilchberg (ZH),ZH,17,17.4,2024-05-27
136,Langnau am Albis,ZH,2,98.5,2024-05-27
137,Oberrieden,ZH,0,999.0,2024-05-27
138,Richterswil,ZH,2,172.5,2024-05-27
139,Rüschlikon,ZH,6,36.8,2024-05-27
141,Thalwil,ZH,19,26.6,2024-05-27
151,Erlenbach (ZH),ZH,3,68.3,2024-05-27
152,Herrliberg,ZH,2,139.0,2024-05-27
153,Hombrechtikon,ZH,2,125.5,2024-05-27
154,Küsnacht (ZH),ZH,19,24.6,2024-05-27
155,Männedorf,ZH,5,64.2,2024-05-27
156,Meilen,ZH,7,66.1,2024-05-27
157,Oetwil am See,ZH,2,57.5,2024-05-27
158,Stäfa,ZH,12,36.0,2024-05-27
159,Uetikon am See,ZH,2,103.5,2024-05-27
160,Zumikon,ZH,2,108.0,2024-05-27
161,Zollikon,ZH,5,72.6,2024-05-27
172,Fehraltorf,ZH,5,39.4,2024-05-27
173,Hittnau,ZH,0,999.0,2024-05-27
176,Lindau,ZH,28,7.9,2024-05-27
177,Pfäffikon,ZH,20,15.0,2024-05-27
178,Russikon,ZH,3,50.3,2024-05-27
180,Weisslingen,ZH,0,999.0,2024-05-27
181,Wila,ZH,0,999.0,2024-05-27
182,Wildberg,ZH,0,999.0,2024-05-27
191,Dübendorf,ZH,19,37.3,2024-05-27
192,Egg,ZH,4,60.3,2024-05-27
193,Fällanden,ZH,2,132.0,2024-05-27
194,Greifensee,ZH,0,999.0,2024-05-27
195,Maur,ZH,10,43.8,2024-05-27
196,Mönchaltorf,ZH,5,20.6,2024-05-27
197,Schwerzenbach,ZH,2,102.0,2024-05-27
198,Uster,ZH,39,19.3,2024-05-27
199,Volketswil,ZH,41,11.8,2024-05-27
200,Wangen-Brüttisellen,ZH,8,25.8,2024-05-27
211,Altikon,ZH,0,999.0,2024-05-27
213,Brütten,ZH,0,999.0,2024-05-27
214,Dägerlen,ZH,0,999.0,2024-05-27
215,Dättlikon,ZH,0,999.0,2024-05-27
216,Dinhard,ZH,3,17.7,2024-05-27
218,Ellikon an der Thur,ZH,1,41.0,2024-05-27
219,Elsau,ZH,4,18.5,2024-05-27
220,Hagenbuch,ZH,0,999.0,2024-05-27
221,Hettlingen,ZH,0,999.0,2024-05-27
223,Neftenbach,ZH,7,24.7,2024-05-27
224,Pfungen,ZH,2,44.5,2024-05-27
225,Rickenbach (ZH),ZH,0,999.0,2024-05-27
226,Schlatt (ZH),ZH,0,999.0,2024-05-27
227,Seuzach,ZH,20,9.1,2024-05-27
228,Turbenthal,ZH,5,24.0,2024-05-27
230,Winterthur,ZH,138,14.2,2024-05-27
231,Zell (ZH),ZH,2,50.0,2024-05-27
241,Aesch (ZH),ZH,0,999.0,2024-05-27
242,Birmensdorf (ZH),ZH,5,35.2,2024-05-27
243,Dietikon,ZH,49,9.6,2024-05-27
244,Geroldswil,ZH,1,125.0,2024-05-27
245,Oberengstringen,ZH,6,14.0,2024-05-27
246,Oetwil an der Limmat,ZH,5,14.0,2024-05-27
247,Schlieren,ZH,52,11.4,2024-05-27
248,Uitikon,ZH,10,21.6,2024-05-27
249,Unterengstringen,ZH,0,999.0,2024-05-27
250,Urdorf,ZH,0,999.0,2024-05-27
251,Weiningen (ZH),ZH,8,24.3,2024-05-27
261,Zürich,ZH,489,16.9,2024-05-27
291,Andelfingen,ZH,7,15.6,2024-05-27
292,Stammheim,ZH,4,18.5,2024-05-27
293,Wädenswil,ZH,9,69.7,2024-05-27
294,Elgg,ZH,0,999.0,2024-05-27
295,Horgen,ZH,5,130.4,2024-05-27
296,Illnau-Effretikon,ZH,14,22.9,2024-05-27
297,Bauma,ZH,5,17.8,2024-05-27
298,Wiesendangen,ZH,7,31.0,2024-05-27
